strategy,concurrency,repeat,request_id,group,queue_ms,processing_ms,end_to_end_ms,completed_at
fifo,1,1,batch-004,batch,3483.9806999998473,108.64829999991343,3592.6754999995865,2196.1594622
fifo,1,1,batch-006,batch,3592.6730000001044,109.00360000005094,3701.745700000174,2196.2685452
fifo,1,1,batch-014,batch,3701.748000000407,108.59269999991739,3810.401499999898,2196.377207
fifo,1,1,critical-000,critical,3810.414199999741,126.03200000012293,3936.529900000096,2196.5033416
fifo,1,1,standard-015,standard,3936.533999999938,107.02289999971981,4043.616800000109,2196.6104331
fifo,1,1,standard-005,standard,4043.6202000000776,107.58720000012545,4151.263599999766,2196.7180841
fifo,1,1,standard-014,standard,4151.267700000062,108.28410000021904,4259.609100000034,2196.8264339
fifo,1,1,standard-007,standard,4259.607400000277,108.83739999962927,4368.502600000284,2196.9353365
fifo,1,1,critical-006,critical,4368.505399999776,107.99970000016401,4476.55850000001,2197.0433967
fifo,1,1,critical-008,critical,4476.558900000327,108.28200000014476,4584.900800000014,2197.1517465
fifo,1,1,batch-001,batch,4584.90299999994,108.16269999986616,4693.1070999999065,2197.2599583
fifo,1,1,batch-008,batch,4693.111800000224,110.97219999965091,4804.145399999925,2197.3710009
fifo,1,1,standard-018,standard,4804.146500000115,109.37960000001112,4913.564899999983,2197.4804247
fifo,1,2,critical-000,critical,15.18290000012712,108.40670000015962,123.77729999980147,2197.6056128
fifo,1,2,batch-008,batch,123.75470000006317,109.49319999963336,233.32269999991695,2197.7151893
fifo,1,2,batch-011,batch,233.31869999992705,108.18319999998494,341.57109999978275,2197.82345
fifo,1,2,standard-006,standard,341.56979999988835,110.13759999968897,451.85380000020814,2197.9337421
fifo,1,2,standard-014,standard,451.8514999999752,109.589700000015,561.5070999997442,2198.0434044
fifo,1,2,critical-004,critical,561.5053000001353,107.52170000023398,669.0926000001127,2198.1509989
fifo,1,2,batch-012,batch,669.0912000003664,109.5034999998461,778.7394000001768,2198.2606543
fifo,1,2,standard-000,standard,778.7350000003244,109.80199999994511,888.5851000000002,2198.3705119
fifo,1,2,standard-020,standard,888.5828999996193,107.43039999988468,996.081900000263,2198.4780193
fifo,1,2,critical-008,critical,996.0813000002418,108.2034000000931,1104.3464999997923,2198.586293
fifo,1,2,batch-000,batch,1104.3451999998979,109.68400000001566,1214.0942999999425,2198.6960483
fifo,1,2,batch-001,batch,1214.0950000002704,108.98559999986901,1323.201700000027,2198.8051651
fifo,1,2,standard-019,standard,1323.199299999942,108.44240000005811,1431.6829999997935,2198.9136537
fifo,1,2,batch-004,batch,1431.682599999931,107.4164000001474,1539.1563000002861,2199.0211346
fifo,1,2,batch-009,batch,1539.1571999998632,106.94370000010167,1646.1550999997598,2199.1281418
fifo,1,2,critical-005,critical,1646.1303000000953,108.968300000015,1755.16319999997,2199.2371818
fifo,1,2,critical-002,critical,1755.1628000001074,106.87089999964883,1862.0882999998685,2199.3441147
fifo,1,2,batch-002,batch,1862.0850000002065,107.68890000008469,1969.8309000000336,2199.4518674
fifo,1,2,critical-001,critical,1969.830699999875,107.98569999997198,2077.8761999999915,2199.5599204
fifo,1,2,batch-006,batch,2077.86249999981,107.9568999998628,2185.8664000001227,2199.6679306
fifo,1,2,batch-014,batch,2185.867099999996,107.75090000015553,2293.6813999999686,2199.7757533
fifo,1,2,standard-012,standard,2293.6822000001484,109.54560000027413,2403.2851000001756,2199.8853641
fifo,1,2,batch-003,batch,2403.2821999999214,106.43630000004123,2509.7657000001163,2199.9918529
fifo,1,2,standard-011,standard,2509.766600000148,110.33029999998689,2620.158100000026,2200.1022527
fifo,1,2,batch-013,batch,2620.1584000000366,106.66680000031192,2726.892499999849,2200.208994
fifo,1,2,critical-006,critical,2726.8982999999025,108.77660000005562,2835.760499999651,2200.3178691
fifo,1,2,standard-017,standard,2835.7616999996935,110.77519999980723,2946.5957000002163,2200.4287119
fifo,1,2,standard-016,standard,2946.5974999998252,108.67879999977959,3055.338600000141,2200.5374619
fifo,1,2,standard-009,standard,3055.3541999997833,109.90670000001046,3165.367099999912,2200.6474971
fifo,1,2,standard-008,standard,3165.367900000092,110.32010000008086,3275.75620000016,2200.757895
fifo,1,2,critical-007,critical,3275.7550000001174,108.79819999991014,3384.6026999999594,2200.86675
fifo,1,2,standard-004,standard,3384.602299999642,109.1340000002674,3493.834500000048,2200.9759893
fifo,1,2,standard-001,standard,3493.834600000355,109.14599999978236,3603.023899999698,2201.0851854
fifo,1,2,standard-007,standard,3603.0416999997215,109.26299999982803,3712.3751999997694,2201.1945443
fifo,1,2,standard-010,standard,3712.372899999991,108.50470000013956,3820.939900000212,2201.3031162
fifo,1,2,batch-010,batch,3820.9366000000955,107.91219999964596,3928.895300000022,2201.4110812
fifo,1,2,standard-003,standard,3928.8971000000856,109.98100000006161,4038.927600000079,2201.5211201
fifo,1,2,standard-018,standard,4038.927199999762,109.01630000034856,4147.997599999599,2201.6301968
fifo,1,2,standard-002,standard,4148.001399999885,108.35990000032325,4256.43859999991,2201.7386444
fifo,1,2,batch-005,batch,4256.436000000122,110.66339999979391,4367.153000000144,2201.8493687
fifo,1,2,standard-015,standard,4367.15200000026,108.58420000022306,4475.911100000303,2201.9581357
fifo,1,2,standard-013,standard,4475.910399999975,112.37369999980729,4588.3412999996835,2202.0705737
fifo,1,2,batch-007,batch,4588.339899999937,107.36009999982343,4695.7759000001715,2202.1780168
fifo,1,2,critical-003,critical,4695.777099999759,107.92579999997542,4803.768199999922,2202.286016
fifo,1,2,standard-005,standard,4803.640599999653,109.24759999988964,4912.948000000142,2202.3953427
fifo,1,3,standard-005,standard,15.41990000032456,110.13730000013311,125.70460000006278,2202.5214082
fifo,1,3,critical-001,critical,125.68999999984953,108.97479999994175,234.77080000020578,2202.6304955
fifo,1,3,standard-006,standard,234.76690000006784,109.3959999998333,344.3591000000197,2202.7400947
fifo,1,3,batch-003,batch,344.3591000000197,108.04119999966133,452.5969000001169,2202.8483409
fifo,1,3,batch-007,batch,452.59790000000066,108.3558999998786,561.0221000001729,2202.9567737
fifo,1,3,standard-000,standard,561.0216000000037,109.75779999989754,670.8308000002035,2203.0665895
fifo,1,3,batch-006,batch,670.8327000001191,108.86149999987538,779.7908999996253,2203.1755562
fifo,1,3,batch-009,batch,779.7915999999532,108.20689999991373,888.0616000001282,2203.2838338
fifo,1,3,standard-008,standard,888.0616999999802,109.12729999972726,997.2342000000936,2203.3930128
fifo,1,3,batch-001,batch,997.2346999998081,107.35129999966375,1104.6590999999353,2203.5004447
fifo,1,3,standard-011,standard,1104.6591999997872,108.52190000014161,1213.260900000023,2203.6090533
fifo,1,3,standard-007,standard,1213.2652000000235,107.9264999998486,1321.2610999999015,2203.7170603
fifo,1,3,standard-004,standard,1321.2627999996585,108.14979999986463,1429.4795000000704,2203.8252858
fifo,1,3,critical-004,critical,1429.4825000001765,109.76560000017344,1539.3098999998074,2203.9351229
fifo,1,3,critical-000,critical,1539.310099999966,108.38069999999789,1647.7497000000767,2204.0435699
fifo,1,3,batch-010,batch,1647.7509000001191,109.16720000022906,1756.9791000000805,2204.1528063
fifo,1,3,critical-006,critical,1756.9789000003766,110.11879999978191,1867.1590000003562,2204.2629937
fifo,1,3,standard-009,standard,1867.1590999997534,107.07009999987349,1974.2837999997391,2204.3701254
fifo,1,3,standard-012,standard,1974.2851000000883,109.54399999991438,2083.8910000002215,2204.4797401
fifo,1,3,batch-005,batch,2083.891300000232,108.97410000006857,2192.914099999598,2204.5887694
fifo,1,3,standard-003,standard,2192.9298000000017,107.19459999972969,2300.1999000002797,2204.6960619
fifo,1,3,standard-020,standard,2300.1994999999624,109.92779999969571,2410.1675000001705,2204.8060356
fifo,1,3,batch-011,batch,2410.1691000000756,108.82179999998698,2519.053800000165,2204.9149283
fifo,1,3,standard-019,standard,2519.05540000007,109.5367000002625,2628.657199999907,2205.0245387
fifo,1,3,standard-016,standard,2628.654600000118,108.73199999969074,2737.4715999999353,2205.1333641
fifo,1,3,batch-004,batch,2737.4730999999883,108.91229999970164,2846.512000000075,2205.2424106
fifo,1,3,standard-013,standard,2846.5135000001283,107.35169999998107,2953.925199999958,2205.3498301
fifo,1,3,standard-015,standard,2953.9244000002327,109.65540000006513,3063.626000000113,2205.4595374
fifo,1,3,critical-007,critical,3063.625299999785,108.25610000028973,3171.9235999999,2205.5678422
