scenario,strategy,batch_size,repeat,request_id,request_class,replica,input_tokens,actual_output_tokens,estimated_output_tokens,max_output_tokens,queue_ms,service_ms,end_to_end_ms
empty_pool,token_ewma,12,1,req-0006,faq,replica-3,123,31,78,512,4471.333333333333,123.83333333333334,4595.166666666667
empty_pool,token_ewma,12,1,req-0011,analysis,replica-3,2338,792,935,2048,4595.166666666667,3029.666666666667,7624.833333333333
empty_pool,oracle,12,1,req-0000,faq,replica-1,216,101,101,512,0.0,372.66666666666663,372.66666666666663
empty_pool,oracle,12,1,req-0007,rag,replica-1,1050,153,153,700,372.66666666666663,685.0,1057.6666666666667
empty_pool,oracle,12,1,req-0008,analysis,replica-1,4298,1168,1168,2048,1057.6666666666667,4609.666666666667,5667.333333333334
empty_pool,oracle,12,1,req-0001,analysis,replica-2,3233,524,524,2048,0.0,2285.5,2285.5
empty_pool,oracle,12,1,req-0009,faq,replica-2,129,81,81,512,2285.5,291.50000000000006,2577.0
empty_pool,oracle,12,1,req-0005,faq,replica-2,169,55,55,512,2577.0,211.5,2788.5
empty_pool,oracle,12,1,req-0003,faq,replica-2,231,64,64,512,2788.5,251.83333333333334,3040.3333333333335
empty_pool,oracle,12,1,req-0006,faq,replica-2,123,31,31,512,3040.3333333333335,123.83333333333334,3164.1666666666665
empty_pool,oracle,12,1,req-0010,rag,replica-2,1121,220,220,700,3164.1666666666665,920.1666666666666,4084.3333333333335
empty_pool,oracle,12,1,req-0011,analysis,replica-2,2338,792,792,2048,4084.3333333333335,3029.666666666667,7114.000000000001
empty_pool,oracle,12,1,req-0002,analysis,replica-3,3339,1111,1111,2048,0.0,4259.833333333333,4259.833333333333
empty_pool,oracle,12,1,req-0004,rag,replica-3,1602,128,128,700,4259.833333333333,693.6666666666666,4953.5
empty_pool,round_robin,12,2,req-0007,analysis,replica-1,2096,1001,,2048,0.0,3686.0,3686.0
empty_pool,round_robin,12,2,req-0006,rag,replica-1,1997,127,,700,3686.0,756.1666666666666,4442.166666666667
empty_pool,round_robin,12,2,req-0009,faq,replica-1,297,95,,512,4442.166666666667,366.16666666666663,4808.333333333334
empty_pool,round_robin,12,2,req-0004,faq,replica-1,126,71,,512,4808.333333333334,257.66666666666663,5066.0
empty_pool,round_robin,12,2,req-0010,faq,replica-2,146,59,,512,0.0,220.99999999999997,220.99999999999997
empty_pool,round_robin,12,2,req-0011,faq,replica-2,188,17,,512,220.99999999999997,88.0,308.99999999999994
empty_pool,round_robin,12,2,req-0002,faq,replica-2,201,98,,512,308.99999999999994,360.16666666666663,669.1666666666666
empty_pool,round_robin,12,2,req-0000,rag,replica-2,769,427,,700,669.1666666666666,1551.5,2220.666666666667
empty_pool,round_robin,12,2,req-0001,faq,replica-3,117,67,,512,0.0,242.83333333333331,242.83333333333331
empty_pool,round_robin,12,2,req-0005,rag,replica-3,1025,220,,700,242.83333333333331,904.1666666666665,1146.9999999999998
empty_pool,round_robin,12,2,req-0003,analysis,replica-3,3014,434,,2048,1146.9999999999998,1949.0,3096.0
empty_pool,round_robin,12,2,req-0008,rag,replica-3,1911,240,,700,3096.0,1118.5,4214.5
