name,kind,nlist,nprobe,hnsw_m,ef_construction,ef_search,chunks,dimension,index_size_bytes,build_ms,search_ms_total,search_ms_per_query,recall@1,recall@3,recall@5,recall@10,mrr@10,index_path
ivf32_nprobe16,ivf,32,16,,,,1152,2048,9708939,8.607499999925494,88.40124160051346,0.078092969611761,0.3136042402826855,0.46819787985865724,0.5353356890459364,0.6298586572438163,0.4095364294127545,data/current/indexes/faiss/ivf32_nprobe16.index
hnsw_m32_ef64,hnsw,,,32,120,64,1152,2048,9750242,162.54616700462066,130.79741660039872,0.1155454210250872,0.31625441696113077,0.4673144876325088,0.534452296819788,0.6280918727915195,0.4109232149868192,data/current/indexes/faiss/hnsw_m32_ef64.index
flat_ip,flat,,,,,,1152,2048,9437229,1.495208009146154,3.888341598212719,0.0034349307404706,0.31625441696113077,0.4673144876325088,0.534452296819788,0.622791519434629,0.41013271916540467,data/current/indexes/faiss/flat_ip.index
ivf32_nprobe4,ivf,32,4,,,,1152,2048,9708939,7.766459020785987,24.115150002762675,0.02130313604484335,0.30742049469964666,0.4726148409893993,0.5371024734982333,0.622791519434629,0.4060498345392338,data/current/indexes/faiss/ivf32_nprobe4.index
hnsw_m16_ef32,hnsw,,,16,80,32,1152,2048,9603130,134.9027920223307,67.58716660551727,0.059705977566711366,0.3127208480565371,0.465547703180212,0.5273851590106007,0.6183745583038869,0.4070324331145886,data/current/indexes/faiss/hnsw_m16_ef32.index
