split,method,embedding_backend,embedding_model,reranker_model,chunks,dimension,candidate_k,top_k,questions,build_ms,search_ms_per_query,recall@1,recall@3,recall@5,recall@10,mrr@10
validation,cosine,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,68235.07259999997,7.912184452296979,0.3083038869257951,0.4558303886925795,0.5229681978798587,0.6130742049469965,0.4009668237141736
validation,bm25,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,98.73149999998532,1.8047945229682227,0.36484098939929327,0.5079505300353356,0.5768551236749117,0.6528268551236749,0.4545459644399574
validation,faiss_flat,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,68330.77170000001,7.948839310953984,0.3083038869257951,0.4558303886925795,0.5229681978798587,0.6130742049469965,0.4009668237141736
validation,hybrid_rrf,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,68429.50319999999,9.985079505300407,0.3913427561837456,0.5521201413427562,0.6104240282685512,0.6934628975265018,0.48651319479499694
