config,top_k,intro_chunks,context_window,max_context_chunks,questions,avg_context_chunks,avg_context_words,avg_unique_documents,first_chunk_gold_rate,context_hit_rate,gold_chunk_share,avg_non_gold_chunks,required_term_coverage,avg_retrieval_ms,selection_score
top_k=3; intro=0; window=1; max=16,3,0,1,16,20,12.45,1426.45,5.15,0.65,0.95,0.390691,7.8,1.0,294.743,0.678483
top_k=3; intro=2; window=1; max=16,3,2,1,16,20,13.6,1575.05,5.0,0.65,0.95,0.401753,8.45,1.0,294.743,0.678175
top_k=3; intro=3; window=0; max=16,3,3,0,16,20,12.95,1502.7,5.1,0.65,0.95,0.394573,8.1,1.0,294.743,0.677877
top_k=7; intro=3; window=1; max=12,7,3,1,12,20,11.9,1377.4,2.9,0.65,0.9,0.441288,6.65,1.0,294.743,0.67753
top_k=3; intro=1; window=1; max=16,3,1,1,16,20,13.2,1516.45,5.15,0.65,0.95,0.394242,8.3,1.0,294.743,0.677298
top_k=3; intro=2; window=0; max=16,3,2,0,16,20,12.15,1401.85,5.15,0.65,0.95,0.383617,7.7,1.0,294.743,0.677071
top_k=5; intro=3; window=1; max=12,5,3,1,12,20,11.8,1369.35,2.95,0.65,0.9,0.436667,6.65,1.0,294.743,0.676378
top_k=10; intro=3; window=1; max=12,10,3,1,12,20,12.0,1385.45,2.8,0.65,0.9,0.4375,6.75,1.0,294.743,0.676159
top_k=7; intro=3; window=0; max=12,7,3,0,12,20,11.8,1383.65,3.4,0.65,0.95,0.375682,7.4,1.0,294.743,0.675344
top_k=5; intro=2; window=0; max=12,5,2,0,12,20,11.7,1359.15,4.4,0.65,0.95,0.373333,7.4,1.0,294.743,0.675147
top_k=3; intro=1; window=2; max=6,3,1,2,6,20,6.0,693.45,1.35,0.65,0.7,0.608333,2.35,1.0,294.743,0.674942
top_k=5; intro=1; window=2; max=6,5,1,2,6,20,6.0,693.45,1.35,0.65,0.7,0.608333,2.35,1.0,294.743,0.674942
top_k=5; intro=5; window=2; max=16,5,5,2,16,20,15.2,1745.65,3.35,0.65,0.95,0.405548,9.15,1.0,294.743,0.67487
top_k=3; intro=2; window=2; max=6,3,2,2,6,20,6.0,700.05,1.35,0.65,0.7,0.608333,2.35,1.0,294.743,0.674832
top_k=3; intro=3; window=2; max=6,3,3,2,6,20,6.0,700.05,1.35,0.65,0.7,0.608333,2.35,1.0,294.743,0.674832
top_k=5; intro=2; window=2; max=6,5,2,2,6,20,6.0,700.05,1.35,0.65,0.7,0.608333,2.35,1.0,294.743,0.674832
top_k=5; intro=3; window=2; max=6,5,3,2,6,20,6.0,700.05,1.35,0.65,0.7,0.608333,2.35,1.0,294.743,0.674832
top_k=5; intro=1; window=2; max=16,5,1,2,16,20,15.05,1730.85,3.55,0.65,0.95,0.402344,9.1,1.0,294.743,0.674306
top_k=5; intro=1; window=0; max=12,5,1,0,12,20,11.35,1311.3,5.0,0.65,0.95,0.366212,7.3,1.0,294.743,0.674159
top_k=5; intro=0; window=2; max=16,5,0,2,16,20,14.9,1703.6,3.9,0.65,0.95,0.397438,9.1,1.0,294.743,0.673438
top_k=5; intro=2; window=2; max=16,5,2,2,16,20,15.15,1745.8,3.5,0.65,0.95,0.399696,9.2,1.0,294.743,0.673162
top_k=5; intro=5; window=0; max=12,5,5,0,12,20,11.8,1364.85,2.95,0.65,0.9,0.422348,6.85,1.0,294.743,0.672157
top_k=10; intro=3; window=0; max=12,10,3,0,12,20,12.0,1403.7,3.35,0.65,0.95,0.366667,7.6,1.0,294.743,0.672105
top_k=7; intro=5; window=2; max=16,7,5,2,16,20,15.45,1772.25,3.15,0.65,0.95,0.397487,9.4,1.0,294.743,0.671759
top_k=7; intro=1; window=2; max=16,7,1,2,16,20,15.4,1760.4,3.25,0.65,0.95,0.395964,9.4,1.0,294.743,0.671549
top_k=7; intro=2; window=2; max=16,7,2,2,16,20,15.4,1768.45,3.25,0.65,0.95,0.395964,9.4,1.0,294.743,0.671415
top_k=7; intro=0; window=2; max=16,7,0,2,16,20,15.35,1740.5,3.45,0.65,0.95,0.394089,9.4,1.0,294.743,0.671368
top_k=7; intro=2; window=0; max=12,7,2,0,12,20,11.7,1365.35,3.9,0.65,0.95,0.360833,7.55,1.0,294.743,0.671294
top_k=5; intro=3; window=2; max=16,5,3,2,16,20,15.15,1745.8,3.45,0.65,0.95,0.393446,9.3,1.0,294.743,0.671287
top_k=5; intro=5; window=1; max=16,5,5,1,16,20,15.1,1742.75,3.55,0.65,0.95,0.391031,9.35,1.0,294.743,0.670663
top_k=7; intro=1; window=0; max=12,7,1,0,12,20,11.6,1341.9,4.9,0.65,0.95,0.357045,7.55,1.0,294.743,0.670648
top_k=7; intro=5; window=0; max=12,7,5,0,12,20,11.9,1377.3,2.85,0.65,0.9,0.418182,6.95,1.0,294.743,0.6706
top_k=5; intro=1; window=0; max=16,5,1,0,16,20,11.75,1353.85,5.15,0.65,0.95,0.357925,7.7,1.0,294.743,0.670563
top_k=5; intro=2; window=1; max=16,5,2,1,16,20,14.9,1717.8,4.1,0.65,0.95,0.386369,9.3,1.0,294.743,0.669881
top_k=7; intro=3; window=2; max=16,7,3,2,16,20,15.4,1768.45,3.25,0.65,0.95,0.389714,9.5,1.0,294.743,0.66954
top_k=5; intro=0; window=1; max=16,5,0,1,16,20,14.35,1651.1,5.0,0.65,0.95,0.378304,9.15,1.0,294.743,0.669123
top_k=10; intro=5; window=0; max=12,10,5,0,12,20,12.0,1385.35,2.8,0.65,0.9,0.4125,7.05,1.0,294.743,0.668661
top_k=5; intro=3; window=1; max=16,5,3,1,16,20,15.0,1737.0,3.95,0.65,0.95,0.383512,9.4,1.0,294.743,0.668604
top_k=5; intro=5; window=0; max=16,5,5,0,16,20,14.95,1724.8,3.8,0.65,0.95,0.378152,9.5,1.0,294.743,0.667249
top_k=10; intro=2; window=0; max=12,10,2,0,12,20,11.95,1399.05,3.9,0.65,0.95,0.349242,7.8,1.0,294.743,0.667005
top_k=7; intro=2; window=1; max=16,7,2,1,16,20,15.3,1761.05,3.55,0.65,0.95,0.380358,9.6,1.0,294.743,0.666957
top_k=5; intro=1; window=1; max=16,5,1,1,16,20,14.7,1693.8,4.5,0.65,0.95,0.373814,9.4,1.0,294.743,0.666714
top_k=7; intro=5; window=1; max=16,7,5,1,16,20,15.4,1775.35,3.25,0.65,0.95,0.379987,9.65,1.0,294.743,0.666507
top_k=10; intro=1; window=0; max=12,10,1,0,12,20,11.85,1377.65,4.8,0.65,0.95,0.342348,7.85,1.0,294.743,0.665394
top_k=7; intro=3; window=1; max=16,7,3,1,16,20,15.3,1768.25,3.45,0.65,0.95,0.374108,9.7,1.0,294.743,0.664962
top_k=10; intro=5; window=2; max=16,10,5,2,16,20,16.0,1838.0,3.1,0.65,0.95,0.378125,9.95,1.0,294.743,0.664937
top_k=10; intro=1; window=2; max=16,10,1,2,16,20,15.95,1826.15,3.2,0.65,0.95,0.3775,9.95,1.0,294.743,0.6648
top_k=10; intro=2; window=2; max=16,10,2,2,16,20,15.95,1834.2,3.2,0.65,0.95,0.3775,9.95,1.0,294.743,0.6648
top_k=7; intro=1; window=0; max=16,7,1,0,16,20,12.35,1425.85,5.15,0.65,0.95,0.344225,8.3,1.0,294.743,0.664653
top_k=7; intro=0; window=1; max=16,7,0,1,16,20,15.05,1717.4,4.4,0.65,0.95,0.368852,9.65,1.0,294.743,0.664482
top_k=5; intro=2; window=0; max=16,5,2,0,16,20,13.3,1544.7,5.05,0.65,0.95,0.351948,8.85,1.0,294.743,0.664039
top_k=7; intro=1; window=1; max=16,7,1,1,16,20,15.25,1749.95,3.85,0.65,0.95,0.369287,9.75,1.0,294.743,0.66387
top_k=10; intro=0; window=2; max=16,10,0,2,16,20,15.95,1812.25,3.4,0.65,0.95,0.374375,10.0,1.0,294.743,0.663863
top_k=10; intro=3; window=2; max=16,10,3,2,16,20,15.95,1834.2,3.2,0.65,0.95,0.37125,10.05,1.0,294.743,0.662925
top_k=5; intro=3; window=0; max=16,5,3,0,16,20,14.2,1659.15,4.6,0.65,0.95,0.35298,9.45,1.0,294.743,0.661542
top_k=10; intro=2; window=1; max=16,10,2,1,16,20,15.9,1831.7,3.55,0.65,0.95,0.361607,10.2,1.0,294.743,0.660082
top_k=7; intro=5; window=0; max=16,7,5,0,16,20,15.3,1771.75,3.45,0.65,0.95,0.357413,10.0,1.0,294.743,0.659895
top_k=10; intro=5; window=1; max=16,10,5,1,16,20,16.0,1847.1,3.2,0.65,0.95,0.359375,10.25,1.0,294.743,0.659312
top_k=10; intro=1; window=1; max=16,10,1,1,16,20,15.85,1813.15,3.8,0.65,0.95,0.353274,10.3,1.0,294.743,0.657632
top_k=10; intro=3; window=1; max=16,10,3,1,16,20,15.95,1840.95,3.45,0.65,0.95,0.3525,10.35,1.0,294.743,0.6573
top_k=10; intro=0; window=1; max=16,10,0,1,16,20,15.7,1787.2,4.35,0.65,0.95,0.350893,10.25,1.0,294.743,0.657281
top_k=7; intro=2; window=0; max=16,7,2,0,16,20,14.3,1665.3,4.85,0.65,0.95,0.332708,9.85,1.0,294.743,0.655257
top_k=10; intro=1; window=0; max=16,10,1,0,16,20,13.3,1539.85,5.15,0.65,0.95,0.321515,9.25,1.0,294.743,0.65499
top_k=7; intro=3; window=0; max=16,7,3,0,16,20,14.95,1751.05,4.25,0.65,0.95,0.332944,10.2,1.0,294.743,0.653249
top_k=10; intro=5; window=0; max=16,10,5,0,16,20,15.95,1849.5,3.4,0.65,0.95,0.333333,10.65,1.0,294.743,0.65155
top_k=10; intro=3; window=0; max=16,10,3,0,16,20,15.75,1846.8,4.2,0.65,0.95,0.305962,11.0,1.0,294.743,0.643539
top_k=10; intro=2; window=0; max=16,10,2,0,16,20,15.2,1779.65,4.75,0.65,0.95,0.301234,10.8,1.0,294.743,0.643009
