config,top_k,intro_chunks,context_window,max_context_chunks,questions,avg_context_chunks,avg_context_words,avg_unique_documents,first_chunk_gold_rate,context_hit_rate,gold_chunk_share,avg_non_gold_chunks,required_term_coverage,avg_retrieval_ms,selection_score
top_k=3; intro=0; window=2; max=10,3,0,2,10,20,10.0,1143.25,3.05,0.65,0.95,0.48,5.2,1.0,294.743,0.712446
top_k=5; intro=2; window=1; max=8,5,2,1,8,20,8.0,931.8,2.15,0.65,0.9,0.51875,3.85,1.0,294.743,0.712095
top_k=7; intro=2; window=1; max=8,7,2,1,8,20,8.0,931.8,2.1,0.65,0.9,0.51875,3.85,1.0,294.743,0.712095
top_k=7; intro=0; window=0; max=8,7,0,0,8,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=7; intro=0; window=0; max=10,7,0,0,10,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=7; intro=0; window=0; max=12,7,0,0,12,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=7; intro=0; window=0; max=16,7,0,0,16,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=3; intro=1; window=0; max=8,3,1,0,8,20,8.0,920.9,3.65,0.65,0.95,0.45625,4.35,1.0,294.743,0.711027
top_k=5; intro=2; window=0; max=8,5,2,0,8,20,8.0,930.6,2.75,0.65,0.95,0.45625,4.35,1.0,294.743,0.710865
top_k=7; intro=2; window=0; max=8,7,2,0,8,20,8.0,930.6,2.75,0.65,0.95,0.45625,4.35,1.0,294.743,0.710865
top_k=5; intro=1; window=1; max=8,5,1,1,8,20,8.0,917.4,2.2,0.65,0.9,0.5125,3.9,1.0,294.743,0.71046
top_k=7; intro=1; window=1; max=8,7,1,1,8,20,8.0,917.4,2.15,0.65,0.9,0.5125,3.9,1.0,294.743,0.71046
top_k=3; intro=2; window=1; max=8,3,2,1,8,20,8.0,931.35,2.5,0.65,0.9,0.5125,3.9,1.0,294.743,0.710227
top_k=3; intro=3; window=0; max=6,3,3,0,6,20,6.0,705.6,2.05,0.65,0.85,0.55,2.7,1.0,294.743,0.70974
top_k=3; intro=1; window=1; max=8,3,1,1,8,20,8.0,922.7,2.55,0.65,0.9,0.50625,3.95,1.0,294.743,0.708497
top_k=7; intro=1; window=1; max=10,7,1,1,10,20,10.0,1149.4,2.7,0.65,0.95,0.465,5.35,1.0,294.743,0.707843
top_k=10; intro=1; window=1; max=10,10,1,1,10,20,10.0,1149.4,2.7,0.65,0.95,0.465,5.35,1.0,294.743,0.707843
top_k=3; intro=5; window=0; max=6,3,5,0,6,20,6.0,693.95,1.7,0.65,0.8,0.6,2.4,1.0,294.743,0.707434
top_k=5; intro=5; window=0; max=6,5,5,0,6,20,6.0,693.95,1.7,0.65,0.8,0.6,2.4,1.0,294.743,0.707434
top_k=5; intro=3; window=1; max=6,5,3,1,6,20,6.0,697.8,1.5,0.65,0.8,0.6,2.4,1.0,294.743,0.70737
top_k=5; intro=3; window=0; max=6,5,3,0,6,20,6.0,705.6,1.95,0.65,0.85,0.541667,2.75,1.0,294.743,0.70724
top_k=7; intro=0; window=1; max=10,7,0,1,10,20,10.0,1145.55,2.95,0.65,0.95,0.46,5.4,1.0,294.743,0.706407
top_k=10; intro=0; window=1; max=10,10,0,1,10,20,10.0,1145.55,2.95,0.65,0.95,0.46,5.4,1.0,294.743,0.706407
top_k=3; intro=3; window=0; max=8,3,3,0,8,20,8.0,935.8,2.65,0.65,0.9,0.5,4.0,1.0,294.743,0.706403
top_k=5; intro=1; window=1; max=10,5,1,1,10,20,10.0,1153.35,2.8,0.65,0.95,0.46,5.4,1.0,294.743,0.706277
top_k=5; intro=0; window=1; max=10,5,0,1,10,20,10.0,1149.05,3.1,0.65,0.95,0.455,5.45,1.0,294.743,0.704849
top_k=5; intro=3; window=2; max=8,5,3,2,8,20,8.0,923.4,1.9,0.65,0.85,0.55,3.6,1.0,294.743,0.70411
top_k=7; intro=3; window=2; max=8,7,3,2,8,20,8.0,923.4,1.85,0.65,0.85,0.55,3.6,1.0,294.743,0.70411
top_k=5; intro=1; window=0; max=8,5,1,0,8,20,8.0,924.6,3.4,0.65,0.95,0.43125,4.55,1.0,294.743,0.703465
top_k=3; intro=1; window=1; max=10,3,1,1,10,20,10.0,1149.3,3.45,0.65,0.95,0.45,5.5,1.0,294.743,0.703345
top_k=5; intro=3; window=0; max=8,5,3,0,8,20,8.0,936.25,2.25,0.65,0.9,0.4875,4.1,1.0,294.743,0.702646
top_k=7; intro=3; window=0; max=8,7,3,0,8,20,8.0,936.25,2.2,0.65,0.9,0.4875,4.1,1.0,294.743,0.702646
top_k=3; intro=1; window=2; max=12,3,1,2,12,20,11.5,1314.45,3.4,0.65,0.95,0.461515,6.25,1.0,294.743,0.702547
top_k=3; intro=3; window=1; max=6,3,3,1,6,20,6.0,697.8,1.65,0.65,0.8,0.583333,2.5,1.0,294.743,0.70237
top_k=3; intro=3; window=2; max=8,3,3,2,8,20,8.0,922.95,2.15,0.65,0.85,0.54375,3.65,1.0,294.743,0.702242
top_k=5; intro=1; window=2; max=12,5,1,2,12,20,11.8,1354.15,2.7,0.65,0.95,0.461667,6.35,1.0,294.743,0.701631
top_k=7; intro=1; window=0; max=8,7,1,0,8,20,8.0,927.65,3.3,0.65,0.95,0.425,4.6,1.0,294.743,0.701539
top_k=3; intro=5; window=2; max=10,3,5,2,10,20,10.0,1143.7,2.7,0.65,0.9,0.5,5.0,1.0,294.743,0.700938
top_k=5; intro=5; window=2; max=10,5,5,2,10,20,10.0,1147.85,2.2,0.65,0.9,0.5,5.0,1.0,294.743,0.700869
top_k=7; intro=5; window=2; max=10,7,5,2,10,20,10.0,1147.85,2.1,0.65,0.9,0.5,5.0,1.0,294.743,0.700869
top_k=10; intro=5; window=2; max=10,10,5,2,10,20,10.0,1147.85,2.1,0.65,0.9,0.5,5.0,1.0,294.743,0.700869
top_k=7; intro=1; window=2; max=12,7,1,2,12,20,11.95,1368.65,2.65,0.65,0.95,0.460227,6.45,1.0,294.743,0.700807
top_k=7; intro=2; window=2; max=10,7,2,2,10,20,10.0,1152.65,2.2,0.65,0.9,0.5,5.0,1.0,294.743,0.700789
top_k=10; intro=2; window=2; max=10,10,2,2,10,20,10.0,1152.65,2.2,0.65,0.9,0.5,5.0,1.0,294.743,0.700789
top_k=7; intro=3; window=2; max=10,7,3,2,10,20,10.0,1153.15,2.2,0.65,0.9,0.5,5.0,1.0,294.743,0.700781
top_k=10; intro=3; window=2; max=10,10,3,2,10,20,10.0,1153.15,2.2,0.65,0.9,0.5,5.0,1.0,294.743,0.700781
top_k=10; intro=1; window=2; max=12,10,1,2,12,20,12.0,1370.7,2.55,0.65,0.95,0.458333,6.5,1.0,294.743,0.700155
top_k=3; intro=3; window=0; max=10,3,3,0,10,20,10.0,1160.7,3.6,0.65,0.95,0.44,5.6,1.0,294.743,0.700155
top_k=7; intro=1; window=2; max=10,7,1,2,10,20,10.0,1144.7,2.2,0.65,0.9,0.495,5.05,1.0,294.743,0.699422
top_k=10; intro=1; window=2; max=10,10,1,2,10,20,10.0,1144.7,2.2,0.65,0.9,0.495,5.05,1.0,294.743,0.699422
top_k=3; intro=2; window=2; max=10,3,2,2,10,20,10.0,1152.45,2.8,0.65,0.9,0.495,5.05,1.0,294.743,0.699292
top_k=3; intro=3; window=2; max=10,3,3,2,10,20,10.0,1152.95,2.8,0.65,0.9,0.495,5.05,1.0,294.743,0.699284
top_k=5; intro=2; window=2; max=10,5,2,2,10,20,10.0,1156.6,2.3,0.65,0.9,0.495,5.05,1.0,294.743,0.699223
top_k=5; intro=3; window=2; max=10,5,3,2,10,20,10.0,1157.1,2.3,0.65,0.9,0.495,5.05,1.0,294.743,0.699215
top_k=3; intro=0; window=2; max=12,3,0,2,12,20,11.5,1314.45,3.75,0.65,0.95,0.449015,6.4,1.0,294.743,0.698797
top_k=5; intro=0; window=2; max=12,5,0,2,12,20,11.8,1354.15,3.0,0.65,0.95,0.449167,6.5,1.0,294.743,0.697881
top_k=5; intro=1; window=2; max=10,5,1,2,10,20,10.0,1148.65,2.3,0.65,0.9,0.49,5.1,1.0,294.743,0.697856
top_k=3; intro=1; window=2; max=10,3,1,2,10,20,10.0,1150.25,2.8,0.65,0.9,0.49,5.1,1.0,294.743,0.697829
top_k=3; intro=5; window=1; max=10,3,5,1,10,20,10.0,1153.6,2.75,0.65,0.9,0.49,5.1,1.0,294.743,0.697773
top_k=3; intro=0; window=1; max=10,3,0,1,10,20,10.0,1146.35,4.0,0.65,0.95,0.43,5.7,1.0,294.743,0.697394
top_k=7; intro=0; window=2; max=12,7,0,2,12,20,11.95,1368.65,2.9,0.65,0.95,0.447727,6.6,1.0,294.743,0.697057
top_k=5; intro=3; window=0; max=10,5,3,0,10,20,10.0,1170.15,3.1,0.65,0.95,0.43,5.7,1.0,294.743,0.696998
top_k=7; intro=3; window=0; max=10,7,3,0,10,20,10.0,1170.6,2.95,0.65,0.95,0.43,5.7,1.0,294.743,0.69699
top_k=10; intro=3; window=0; max=10,10,3,0,10,20,10.0,1170.6,2.9,0.65,0.95,0.43,5.7,1.0,294.743,0.69699
top_k=3; intro=5; window=0; max=8,3,5,0,8,20,8.0,933.5,2.25,0.65,0.85,0.525,3.8,1.0,294.743,0.696442
