backend,max_concurrency,output_tok_s,requests_s,p95_ttft_ms,p95_tpot_ms,p95_e2e_ms,repeats
lmdeploy,1,27.454290506925844,0.21448664458535815,188.59755824985314,35.490475419291265,4693.528198999729,3
lmdeploy,2,62.62452768839686,0.48925412256560047,357.03302100012024,30.60172347441075,4097.984280249989,3
lmdeploy,4,114.9880620295171,0.8983442346056023,675.2667915000075,33.29144207480399,4451.746332499738,3
lmdeploy,8,193.84852590090145,1.5144416086007926,1331.5337777499963,39.63332795669204,5435.241639250194,3
lmdeploy,16,295.89005573091754,2.3116410603977933,2578.685362249985,48.40035283858222,6910.542197750033,3
sglang,1,23.328533630760216,0.18225416899031419,415.74797399948693,40.730406901574256,5576.979451749821,3
sglang,2,55.173163620475414,0.43104034078496417,799.8901500004649,30.73909629921669,4695.893001500053,3
sglang,4,91.96474822151002,0.718825584535496,1579.8138364996248,37.65119373425177,5681.3160305000565,3
sglang,8,136.16561552867972,1.0637938713178103,3056.598905500323,51.28724254330437,7610.500417499679,3
sglang,16,125.30970671841392,0.9789820837376088,7182.068752499845,76.31623522637724,12314.37609549971,3
vllm,1,24.266865861604785,0.18958488954378738,191.37360549984805,40.28269336417298,5296.190253499731,3
vllm,2,59.858402957978434,0.4676437731092065,361.4756329998272,32.117502411415806,4280.549494499724,3
vllm,4,107.4911946821743,0.8397749584544867,685.0148762500794,35.86413233858373,4797.240871750205,3
vllm,8,177.30733644093425,1.3852135659447988,1243.8419262500702,43.34875914960464,5793.628318250057,3
vllm,16,264.8681517004996,2.069282435160153,2413.5525807502063,54.06554110629803,7721.546462500214,3
