model,dimension,build_ms,search_ms_per_query,recall@1,recall@5,recall@10,mrr@10
sentence-transformers/all-MiniLM-L6-v2,384,68330.772,7.948839,0.308304,0.522968,0.613074,0.400967
sentence-transformers/all-mpnet-base-v2,768,545944.299,54.726331,0.293286,0.500883,0.592756,0.381601
