timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:31:24.499,100,13519,15360,65.34,79
2026/07/12 17:31:24.742,100,13519,15360,67.10,79
2026/07/12 17:31:24.986,100,13519,15360,67.34,79
2026/07/12 17:31:25.229,100,13519,15360,68.03,79
2026/07/12 17:31:25.478,100,13519,15360,66.22,79
2026/07/12 17:31:25.731,100,13519,15360,66.46,79
2026/07/12 17:31:25.980,100,13519,15360,66.02,79
2026/07/12 17:31:26.226,100,13519,15360,65.97,79
2026/07/12 17:31:26.473,100,13519,15360,65.63,79
2026/07/12 17:31:26.720,100,13519,15360,67.04,79
2026/07/12 17:31:26.968,100,13519,15360,66.36,79
2026/07/12 17:31:27.217,100,13519,15360,65.53,79
2026/07/12 17:31:27.464,100,13519,15360,66.06,79
2026/07/12 17:31:27.714,100,13519,15360,65.34,79
2026/07/12 17:31:27.964,100,13519,15360,65.93,79
2026/07/12 17:31:28.214,100,13519,15360,66.26,79
2026/07/12 17:31:28.461,100,13519,15360,67.69,79
2026/07/12 17:31:28.709,100,13519,15360,67.24,79
2026/07/12 17:31:28.957,100,13519,15360,65.87,79
2026/07/12 17:31:29.204,100,13519,15360,67.59,79
2026/07/12 17:31:29.446,100,13519,15360,68.04,79
2026/07/12 17:31:29.692,100,13519,15360,61.10,79
2026/07/12 17:31:29.943,100,13519,15360,65.59,79
2026/07/12 17:31:30.190,100,13519,15360,66.32,79
2026/07/12 17:31:30.435,100,13519,15360,65.83,79
2026/07/12 17:31:30.684,100,13519,15360,65.52,79
2026/07/12 17:31:30.930,100,13519,15360,67.16,79
2026/07/12 17:31:31.176,100,13519,15360,66.22,79
2026/07/12 17:31:31.422,100,13519,15360,67.40,78
2026/07/12 17:31:31.668,100,13519,15360,66.36,78
2026/07/12 17:31:31.920,100,13519,15360,66.71,78
2026/07/12 17:31:32.167,100,13519,15360,66.51,78
2026/07/12 17:31:32.414,100,13519,15360,65.79,78
2026/07/12 17:31:32.661,100,13519,15360,66.65,78
2026/07/12 17:31:32.906,100,13519,15360,66.71,78
2026/07/12 17:31:33.156,100,13519,15360,65.52,78
2026/07/12 17:31:33.406,100,13519,15360,66.71,78
2026/07/12 17:31:33.655,100,13519,15360,66.67,78
2026/07/12 17:31:33.899,100,13519,15360,67.89,78
2026/07/12 17:31:34.142,100,13519,15360,67.89,78
2026/07/12 17:31:34.386,100,13519,15360,65.48,78
2026/07/12 17:31:34.636,100,13519,15360,66.61,78
2026/07/12 17:31:34.888,100,13519,15360,65.77,78
2026/07/12 17:31:35.134,100,13519,15360,65.63,78
2026/07/12 17:31:35.382,100,13519,15360,67.30,78
2026/07/12 17:31:35.629,100,13519,15360,67.59,78
2026/07/12 17:31:35.874,100,13519,15360,66.32,78
2026/07/12 17:31:36.122,100,13519,15360,67.16,78
2026/07/12 17:31:36.372,100,13519,15360,66.85,78
2026/07/12 17:31:36.618,100,13519,15360,68.86,78
2026/07/12 17:31:36.865,100,13519,15360,67.65,78
2026/07/12 17:31:37.113,100,13519,15360,67.69,78
2026/07/12 17:31:37.360,100,13519,15360,68.57,78
2026/07/12 17:31:37.609,100,13519,15360,66.32,78
2026/07/12 17:31:37.856,100,13519,15360,67.30,78
2026/07/12 17:31:38.104,100,13519,15360,67.24,78
2026/07/12 17:31:38.350,100,13519,15360,68.72,78
2026/07/12 17:31:38.594,100,13519,15360,66.51,78
2026/07/12 17:31:38.839,100,13519,15360,63.87,78
2026/07/12 17:31:39.086,100,13519,15360,66.42,78
2026/07/12 17:31:39.336,100,13519,15360,66.61,78
2026/07/12 17:31:39.583,100,13519,15360,68.18,78
2026/07/12 17:31:39.830,100,13519,15360,67.65,78
2026/07/12 17:31:40.078,100,13519,15360,67.44,78
2026/07/12 17:31:40.327,100,13519,15360,65.53,78
2026/07/12 17:31:40.573,100,13519,15360,66.81,77
2026/07/12 17:31:40.819,100,13519,15360,66.12,78
2026/07/12 17:31:41.066,100,13519,15360,66.32,78
2026/07/12 17:31:41.314,100,13519,15360,66.61,77
2026/07/12 17:31:41.560,100,13519,15360,67.00,77
2026/07/12 17:31:41.809,100,13519,15360,66.12,77
2026/07/12 17:31:42.061,100,13519,15360,67.10,77
2026/07/12 17:31:42.307,100,13519,15360,66.61,77
