timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:36:22.600,98,13583,15360,66.61,77
2026/07/12 17:36:22.848,100,13583,15360,68.67,76
2026/07/12 17:36:23.091,100,13583,15360,68.08,76
2026/07/12 17:36:23.333,100,13583,15360,67.89,76
2026/07/12 17:36:23.577,100,13583,15360,68.72,76
2026/07/12 17:36:23.818,100,13583,15360,67.69,76
2026/07/12 17:36:24.062,100,13583,15360,67.79,77
2026/07/12 17:36:24.310,100,13583,15360,68.57,76
2026/07/12 17:36:24.558,100,13583,15360,67.89,77
2026/07/12 17:36:24.802,100,13583,15360,68.72,77
2026/07/12 17:36:25.045,100,13583,15360,67.69,77
2026/07/12 17:36:25.288,100,13583,15360,64.85,76
2026/07/12 17:36:25.537,100,13583,15360,66.79,76
2026/07/12 17:36:25.784,100,13583,15360,66.26,76
2026/07/12 17:36:26.037,100,13583,15360,66.12,76
2026/07/12 17:36:26.285,100,13583,15360,65.89,76
2026/07/12 17:36:26.534,100,13583,15360,67.34,76
2026/07/12 17:36:26.786,100,13583,15360,65.89,76
2026/07/12 17:36:27.036,100,13583,15360,68.33,76
2026/07/12 17:36:27.286,100,13583,15360,69.16,76
2026/07/12 17:36:27.534,100,13583,15360,66.79,76
2026/07/12 17:36:27.783,100,13583,15360,67.20,76
2026/07/12 17:36:28.031,100,13583,15360,64.50,76
2026/07/12 17:36:28.287,100,13583,15360,63.99,76
2026/07/12 17:36:28.539,100,13583,15360,67.04,77
2026/07/12 17:36:28.793,100,13583,15360,66.79,76
2026/07/12 17:36:29.041,100,13583,15360,64.95,77
2026/07/12 17:36:29.298,100,13583,15360,66.57,76
