timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:54:52.751,100,11963,15360,68.18,77
2026/07/12 17:54:52.995,84,11963,15360,72.54,77
2026/07/12 17:54:53.238,100,11963,15360,76.27,78
2026/07/12 17:54:53.480,100,11963,15360,73.77,78
2026/07/12 17:54:53.721,100,11963,15360,68.24,78
2026/07/12 17:54:53.964,100,11963,15360,63.61,77
2026/07/12 17:54:54.212,100,11963,15360,66.61,77
2026/07/12 17:54:54.459,100,11963,15360,65.94,77
2026/07/12 17:54:54.706,100,11963,15360,65.73,77
2026/07/12 17:54:54.955,100,11963,15360,67.00,77
2026/07/12 17:54:55.200,100,11963,15360,67.51,77
2026/07/12 17:54:55.447,100,11963,15360,67.06,77
2026/07/12 17:54:55.693,100,11963,15360,65.34,77
2026/07/12 17:54:55.939,100,11963,15360,66.86,77
2026/07/12 17:54:56.192,100,11963,15360,65.98,77
2026/07/12 17:54:56.437,100,11963,15360,67.84,77
2026/07/12 17:54:56.684,100,11963,15360,66.60,77
2026/07/12 17:54:56.931,100,11963,15360,67.26,77
2026/07/12 17:54:57.182,100,11963,15360,67.21,77
2026/07/12 17:54:57.428,100,11963,15360,65.83,77
2026/07/12 17:54:57.672,100,11963,15360,67.59,77
2026/07/12 17:54:57.917,100,11963,15360,67.04,77
2026/07/12 17:54:58.163,100,11963,15360,66.26,77
2026/07/12 17:54:58.414,100,11963,15360,67.00,77
2026/07/12 17:54:58.658,100,11963,15360,66.30,77
2026/07/12 17:54:58.899,100,11963,15360,74.85,78
2026/07/12 17:54:59.143,100,11963,15360,78.61,78
2026/07/12 17:54:59.387,100,11963,15360,75.00,78
2026/07/12 17:54:59.631,100,11963,15360,64.73,78
2026/07/12 17:54:59.874,100,11963,15360,65.18,77
2026/07/12 17:55:00.119,100,11963,15360,65.36,77
2026/07/12 17:55:00.365,100,11963,15360,67.10,78
2026/07/12 17:55:00.611,100,11963,15360,65.52,77
2026/07/12 17:55:00.857,100,11963,15360,65.48,77
2026/07/12 17:55:01.106,100,11963,15360,66.11,77
2026/07/12 17:55:01.352,100,11963,15360,65.48,77
2026/07/12 17:55:01.599,100,11963,15360,66.61,77
2026/07/12 17:55:01.846,100,11963,15360,66.16,77
2026/07/12 17:55:02.096,100,11963,15360,67.04,77
2026/07/12 17:55:02.342,100,11963,15360,66.60,77
2026/07/12 17:55:02.588,100,11963,15360,66.18,77
2026/07/12 17:55:02.834,100,11963,15360,66.85,77
2026/07/12 17:55:03.080,100,11963,15360,67.65,77
2026/07/12 17:55:03.329,100,11963,15360,67.84,77
2026/07/12 17:55:03.575,100,11963,15360,67.04,77
2026/07/12 17:55:03.821,100,11963,15360,65.53,77
2026/07/12 17:55:04.066,100,11963,15360,67.00,77
