timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:48:58.227,100,11963,15360,67.79,63
2026/07/12 17:48:58.473,91,11963,15360,72.35,64
2026/07/12 17:48:58.729,100,11963,15360,68.82,64
2026/07/12 17:48:58.980,100,11963,15360,68.24,64
2026/07/12 17:48:59.231,100,11963,15360,67.98,64
2026/07/12 17:48:59.483,100,11963,15360,67.40,64
2026/07/12 17:48:59.735,100,11963,15360,67.35,64
2026/07/12 17:48:59.986,100,11963,15360,67.30,64
2026/07/12 17:49:00.236,100,11963,15360,68.53,64
2026/07/12 17:49:00.491,100,11963,15360,67.30,64
2026/07/12 17:49:00.741,100,11963,15360,69.06,64
2026/07/12 17:49:00.993,100,11963,15360,67.49,64
2026/07/12 17:49:01.246,100,11963,15360,67.79,64
2026/07/12 17:49:01.498,100,11963,15360,67.30,64
2026/07/12 17:49:01.751,100,11963,15360,67.69,65
2026/07/12 17:49:01.999,93,11963,15360,67.69,65
2026/07/12 17:49:02.249,100,11963,15360,67.30,65
2026/07/12 17:49:02.506,100,11963,15360,67.98,65
2026/07/12 17:49:02.757,100,11963,15360,67.69,65
2026/07/12 17:49:03.007,100,11963,15360,67.69,65
2026/07/12 17:49:03.257,100,11963,15360,67.40,65
2026/07/12 17:49:03.516,100,11963,15360,67.40,65
2026/07/12 17:49:03.769,100,11963,15360,67.30,65
2026/07/12 17:49:04.031,100,11963,15360,67.49,65
2026/07/12 17:49:04.283,100,11963,15360,68.38,65
2026/07/12 17:49:04.535,100,11963,15360,67.69,65
2026/07/12 17:49:04.789,100,11963,15360,67.79,65
2026/07/12 17:49:05.040,100,11963,15360,67.69,65
2026/07/12 17:49:05.298,100,11963,15360,67.30,66
2026/07/12 17:49:05.548,100,11963,15360,67.45,66
2026/07/12 17:49:05.797,100,11963,15360,68.03,66
2026/07/12 17:49:06.044,100,11963,15360,68.08,66
2026/07/12 17:49:06.297,100,11963,15360,68.28,66
2026/07/12 17:49:06.549,100,11963,15360,67.98,66
2026/07/12 17:49:06.799,100,11963,15360,67.45,66
2026/07/12 17:49:07.049,100,11963,15360,67.69,66
2026/07/12 17:49:07.301,100,11963,15360,68.47,66
2026/07/12 17:49:07.552,100,11963,15360,68.28,66
2026/07/12 17:49:07.803,100,11963,15360,67.79,66
2026/07/12 17:49:08.066,100,11963,15360,68.08,66
2026/07/12 17:49:08.319,100,11963,15360,67.59,66
2026/07/12 17:49:08.571,100,11963,15360,67.89,66
2026/07/12 17:49:08.824,100,11963,15360,67.89,66
2026/07/12 17:49:09.075,100,11963,15360,67.98,66
2026/07/12 17:49:09.326,100,11963,15360,67.79,66
2026/07/12 17:49:09.577,92,11963,15360,70.59,67
2026/07/12 17:49:09.828,100,11963,15360,67.93,67
2026/07/12 17:49:10.082,100,11963,15360,68.14,67
2026/07/12 17:49:10.333,100,11963,15360,67.79,67
2026/07/12 17:49:10.584,100,11963,15360,67.75,67
2026/07/12 17:49:10.834,100,11963,15360,67.79,67
2026/07/12 17:49:11.094,100,11963,15360,68.08,67
2026/07/12 17:49:11.348,100,11963,15360,67.69,67
2026/07/12 17:49:11.598,100,11963,15360,67.98,67
2026/07/12 17:49:11.850,100,11963,15360,67.98,67
2026/07/12 17:49:12.102,100,11963,15360,68.86,67
2026/07/12 17:49:12.354,100,11963,15360,68.42,67
2026/07/12 17:49:12.605,100,11963,15360,68.92,67
2026/07/12 17:49:12.861,100,11963,15360,68.28,67
2026/07/12 17:49:13.112,100,11963,15360,68.96,67
2026/07/12 17:49:13.365,89,11963,15360,70.93,67
2026/07/12 17:49:13.625,100,11963,15360,68.47,68
2026/07/12 17:49:13.876,100,11963,15360,67.98,68
2026/07/12 17:49:14.139,100,11963,15360,68.53,68
2026/07/12 17:49:14.396,100,11963,15360,68.32,68
2026/07/12 17:49:14.649,100,11963,15360,67.94,68
2026/07/12 17:49:14.901,100,11963,15360,68.82,68
2026/07/12 17:49:15.152,100,11963,15360,67.98,68
2026/07/12 17:49:15.407,100,11963,15360,68.86,68
2026/07/12 17:49:15.658,100,11963,15360,67.98,68
2026/07/12 17:49:15.910,100,11963,15360,67.94,68
2026/07/12 17:49:16.161,100,11963,15360,68.28,68
2026/07/12 17:49:16.417,100,11963,15360,67.69,68
2026/07/12 17:49:16.667,100,11963,15360,67.98,68
2026/07/12 17:49:16.916,93,11963,15360,67.30,68
2026/07/12 17:49:17.160,100,11963,15360,67.94,68
2026/07/12 17:49:17.413,100,11963,15360,67.55,68
2026/07/12 17:49:17.669,100,11963,15360,67.55,69
