timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 18:21:00.663,99,12823,15360,68.28,77
2026/07/12 18:21:00.911,99,12823,15360,69.66,77
2026/07/12 18:21:01.155,100,12823,15360,66.06,77
2026/07/12 18:21:01.408,100,12823,15360,62.47,77
2026/07/12 18:21:01.655,100,12823,15360,66.85,77
2026/07/12 18:21:01.898,100,12823,15360,64.50,77
2026/07/12 18:21:02.144,100,12823,15360,68.24,77
2026/07/12 18:21:02.389,100,12823,15360,66.32,77
2026/07/12 18:21:02.634,100,12823,15360,65.10,77
2026/07/12 18:21:02.881,100,12823,15360,66.77,77
2026/07/12 18:21:03.131,100,12823,15360,66.96,77
2026/07/12 18:21:03.380,100,12823,15360,60.07,77
2026/07/12 18:21:03.624,100,12823,15360,69.02,77
2026/07/12 18:21:03.870,100,12823,15360,66.53,77
2026/07/12 18:21:04.116,100,12823,15360,65.06,77
2026/07/12 18:21:04.367,100,12823,15360,64.42,77
2026/07/12 18:21:04.618,100,12823,15360,66.81,77
2026/07/12 18:21:04.866,100,12823,15360,67.26,77
2026/07/12 18:21:05.118,100,12823,15360,66.73,77
2026/07/12 18:21:05.363,100,12823,15360,63.99,77
2026/07/12 18:21:05.610,100,12823,15360,64.67,77
2026/07/12 18:21:05.859,100,12823,15360,63.83,77
2026/07/12 18:21:06.105,100,12823,15360,64.28,77
2026/07/12 18:21:06.359,100,12823,15360,62.08,77
2026/07/12 18:21:06.607,98,12823,15360,66.51,77
2026/07/12 18:21:06.852,100,12823,15360,70.54,77
2026/07/12 18:21:07.102,100,12823,15360,66.42,77
2026/07/12 18:21:07.352,100,12823,15360,69.80,77
2026/07/12 18:21:07.597,100,12823,15360,64.89,77
2026/07/12 18:21:07.842,100,12823,15360,68.19,77
2026/07/12 18:21:08.089,100,12823,15360,66.08,77
2026/07/12 18:21:08.336,100,12823,15360,66.18,77
2026/07/12 18:21:08.590,100,12823,15360,66.71,77
2026/07/12 18:21:08.837,100,12823,15360,64.36,77
2026/07/12 18:21:09.084,100,12823,15360,68.08,77
2026/07/12 18:21:09.332,100,12823,15360,64.87,77
2026/07/12 18:21:09.584,100,12823,15360,66.08,77
2026/07/12 18:21:09.832,100,12823,15360,68.68,77
2026/07/12 18:21:10.076,100,12823,15360,69.15,77
2026/07/12 18:21:10.322,100,12823,15360,65.85,77
2026/07/12 18:21:10.567,100,12823,15360,65.85,77
2026/07/12 18:21:10.822,100,12823,15360,63.44,77
2026/07/12 18:21:11.071,100,12823,15360,68.49,77
2026/07/12 18:21:11.319,100,12823,15360,69.44,77
2026/07/12 18:21:11.576,100,12823,15360,65.73,77
2026/07/12 18:21:11.824,100,12823,15360,62.26,77
2026/07/12 18:21:12.072,98,12823,15360,62.57,77
2026/07/12 18:21:12.326,100,12823,15360,64.69,77
2026/07/12 18:21:12.574,100,12823,15360,62.77,77
2026/07/12 18:21:12.820,100,12823,15360,65.57,77
2026/07/12 18:21:13.075,100,12823,15360,65.14,77
2026/07/12 18:21:13.320,100,12823,15360,68.18,77
2026/07/12 18:21:13.569,100,12823,15360,64.81,77
2026/07/12 18:21:13.821,100,12823,15360,69.10,77
2026/07/12 18:21:14.067,100,12823,15360,64.85,77
2026/07/12 18:21:14.317,100,12823,15360,66.96,77
2026/07/12 18:21:14.570,100,12823,15360,64.16,77
2026/07/12 18:21:14.820,100,12823,15360,65.00,77
2026/07/12 18:21:15.066,100,12823,15360,63.20,77
2026/07/12 18:21:15.312,100,12823,15360,64.65,77
2026/07/12 18:21:15.559,100,12823,15360,69.36,77
2026/07/12 18:21:15.805,100,12823,15360,67.90,77
2026/07/12 18:21:16.050,100,12823,15360,64.03,77
2026/07/12 18:21:16.297,100,12823,15360,66.38,77
2026/07/12 18:21:16.545,100,12823,15360,66.73,77
2026/07/12 18:21:16.791,100,12823,15360,68.08,77
2026/07/12 18:21:17.037,100,12823,15360,67.12,77
2026/07/12 18:21:17.285,100,12823,15360,62.52,77
2026/07/12 18:21:17.531,99,12823,15360,70.25,77
2026/07/12 18:21:17.785,100,12823,15360,66.02,77
2026/07/12 18:21:18.033,100,12823,15360,65.83,77
2026/07/12 18:21:18.282,100,12823,15360,67.40,77
2026/07/12 18:21:18.530,100,12823,15360,67.35,77
2026/07/12 18:21:18.791,100,12823,15360,66.42,77
2026/07/12 18:21:19.046,100,12823,15360,68.96,77
2026/07/12 18:21:19.291,100,12823,15360,64.10,77
2026/07/12 18:21:19.540,100,12823,15360,68.72,77
2026/07/12 18:21:19.800,100,12823,15360,68.38,77
2026/07/12 18:21:20.048,100,12823,15360,66.63,77
2026/07/12 18:21:20.302,100,12823,15360,63.79,77
2026/07/12 18:21:20.551,100,12823,15360,64.03,77
2026/07/12 18:21:20.801,100,12823,15360,65.00,77
2026/07/12 18:21:21.053,100,12823,15360,68.29,77
2026/07/12 18:21:21.302,100,12823,15360,64.42,77
2026/07/12 18:21:21.549,100,12823,15360,69.02,77
2026/07/12 18:21:21.806,100,12823,15360,68.49,77
2026/07/12 18:21:22.052,100,12823,15360,67.65,77
2026/07/12 18:21:22.301,100,12823,15360,64.96,77
2026/07/12 18:21:22.551,100,12823,15360,64.57,77
2026/07/12 18:21:22.798,100,12823,15360,68.04,77
