timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:35:45.292,100,13583,15360,66.26,78
2026/07/12 17:35:45.531,100,13583,15360,67.59,78
2026/07/12 17:35:45.774,100,13583,15360,67.49,78
2026/07/12 17:35:46.016,100,13583,15360,67.30,78
2026/07/12 17:35:46.258,100,13583,15360,68.08,78
2026/07/12 17:35:46.501,100,13583,15360,66.75,78
2026/07/12 17:35:46.745,100,13583,15360,65.93,78
2026/07/12 17:35:46.997,100,13583,15360,65.63,78
2026/07/12 17:35:47.243,100,13583,15360,65.73,78
2026/07/12 17:35:47.493,100,13583,15360,67.20,78
2026/07/12 17:35:47.748,100,13583,15360,66.22,78
2026/07/12 17:35:47.995,100,13583,15360,65.89,78
2026/07/12 17:35:48.242,100,13583,15360,67.79,78
2026/07/12 17:35:48.488,100,13583,15360,65.69,78
2026/07/12 17:35:48.737,100,13583,15360,66.16,78
2026/07/12 17:35:48.984,100,13583,15360,67.35,78
2026/07/12 17:35:49.229,100,13583,15360,66.12,78
2026/07/12 17:35:49.478,100,13583,15360,66.61,78
2026/07/12 17:35:49.728,100,13583,15360,67.10,78
2026/07/12 17:35:49.978,100,13583,15360,66.12,78
2026/07/12 17:35:50.224,100,13583,15360,66.42,78
2026/07/12 17:35:50.469,100,13583,15360,65.38,78
2026/07/12 17:35:50.714,100,13583,15360,67.20,78
2026/07/12 17:35:50.958,100,13583,15360,68.08,78
2026/07/12 17:35:51.205,100,13583,15360,67.30,78
2026/07/12 17:35:51.446,100,13583,15360,67.45,78
2026/07/12 17:35:51.685,100,13583,15360,66.91,78
2026/07/12 17:35:51.931,100,13583,15360,63.75,78
2026/07/12 17:35:52.179,100,13583,15360,65.63,78
2026/07/12 17:35:52.425,100,13583,15360,67.00,78
2026/07/12 17:35:52.671,100,13583,15360,65.53,78
2026/07/12 17:35:52.923,100,13583,15360,66.61,78
2026/07/12 17:35:53.171,100,13583,15360,65.77,78
2026/07/12 17:35:53.420,100,13583,15360,67.45,78
2026/07/12 17:35:53.667,100,13583,15360,66.81,78
2026/07/12 17:35:53.917,100,13583,15360,65.57,78
2026/07/12 17:35:54.163,100,13583,15360,67.94,78
2026/07/12 17:35:54.413,100,13583,15360,65.83,78
2026/07/12 17:35:54.664,100,13583,15360,66.56,78
2026/07/12 17:35:54.912,100,13583,15360,66.42,78
2026/07/12 17:35:55.159,100,13583,15360,66.51,78
2026/07/12 17:35:55.405,100,13583,15360,66.65,77
2026/07/12 17:35:55.649,100,13583,15360,66.91,77
