timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:55:32.952,100,11963,15360,67.63,76
2026/07/12 17:55:33.199,79,11963,15360,67.49,77
2026/07/12 17:55:33.442,100,11963,15360,61.49,77
2026/07/12 17:55:33.684,100,11963,15360,65.14,77
2026/07/12 17:55:33.931,100,11963,15360,66.61,77
2026/07/12 17:55:34.173,100,11963,15360,66.57,77
2026/07/12 17:55:34.415,100,11963,15360,62.53,77
2026/07/12 17:55:34.662,100,11963,15360,64.24,77
2026/07/12 17:55:34.911,100,11963,15360,64.20,77
2026/07/12 17:55:35.153,100,11963,15360,65.63,77
2026/07/12 17:55:35.397,100,11963,15360,67.10,77
2026/07/12 17:55:35.649,100,11963,15360,67.49,77
2026/07/12 17:55:35.900,100,11963,15360,67.16,77
2026/07/12 17:55:36.147,100,11963,15360,66.22,77
2026/07/12 17:55:36.392,100,11963,15360,66.26,77
2026/07/12 17:55:36.638,100,11963,15360,66.46,77
2026/07/12 17:55:36.884,100,11963,15360,66.12,77
2026/07/12 17:55:37.136,100,11963,15360,66.81,77
2026/07/12 17:55:37.381,100,11963,15360,67.00,77
2026/07/12 17:55:37.630,100,11963,15360,66.32,77
2026/07/12 17:55:37.877,100,11963,15360,68.47,77
2026/07/12 17:55:38.128,100,11963,15360,66.91,77
2026/07/12 17:55:38.372,100,11963,15360,68.38,77
2026/07/12 17:55:38.624,100,11963,15360,65.93,77
2026/07/12 17:55:38.870,100,11963,15360,67.94,77
2026/07/12 17:55:39.117,100,11963,15360,66.71,77
2026/07/12 17:55:39.361,100,11963,15360,66.42,77
2026/07/12 17:55:39.610,100,11963,15360,66.75,77
2026/07/12 17:55:39.861,100,11963,15360,66.32,77
2026/07/12 17:55:40.108,100,11963,15360,66.12,77
2026/07/12 17:55:40.352,100,11963,15360,67.79,77
2026/07/12 17:55:40.596,100,11963,15360,67.06,77
