timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:37:28.812,100,13583,15360,67.59,77
2026/07/12 17:37:29.056,100,13583,15360,65.63,77
2026/07/12 17:37:29.305,100,13583,15360,67.59,77
2026/07/12 17:37:29.553,100,13583,15360,67.59,77
2026/07/12 17:37:29.796,100,13583,15360,67.10,77
2026/07/12 17:37:30.039,100,13583,15360,67.06,77
2026/07/12 17:37:30.281,100,13583,15360,68.18,77
2026/07/12 17:37:30.524,100,13583,15360,67.89,77
2026/07/12 17:37:30.770,100,13583,15360,67.55,77
2026/07/12 17:37:31.013,100,13583,15360,67.45,77
2026/07/12 17:37:31.256,100,13583,15360,67.16,77
2026/07/12 17:37:31.500,100,13583,15360,67.49,77
2026/07/12 17:37:31.743,100,13583,15360,66.71,77
2026/07/12 17:37:31.986,100,13583,15360,67.84,77
2026/07/12 17:37:32.227,100,13583,15360,66.96,77
2026/07/12 17:37:32.470,100,13583,15360,67.30,77
2026/07/12 17:37:32.713,100,13583,15360,67.75,77
2026/07/12 17:37:32.957,100,13583,15360,67.89,77
2026/07/12 17:37:33.199,100,13583,15360,67.79,77
2026/07/12 17:37:33.446,100,13583,15360,69.65,77
2026/07/12 17:37:33.692,100,13583,15360,66.75,77
2026/07/12 17:37:33.938,100,13583,15360,67.00,77
2026/07/12 17:37:34.180,100,13583,15360,67.26,77
2026/07/12 17:37:34.423,100,13583,15360,67.49,77
2026/07/12 17:37:34.673,100,13583,15360,67.89,77
2026/07/12 17:37:34.918,100,13583,15360,67.69,77
2026/07/12 17:37:35.163,100,13583,15360,67.00,77
2026/07/12 17:37:35.415,100,13583,15360,68.08,77
2026/07/12 17:37:35.659,100,13583,15360,67.65,77
2026/07/12 17:37:35.901,100,13583,15360,67.59,77
2026/07/12 17:37:36.149,100,13583,15360,67.49,77
2026/07/12 17:37:36.394,100,13583,15360,67.98,77
2026/07/12 17:37:36.643,100,13583,15360,68.08,77
2026/07/12 17:37:36.891,100,13583,15360,68.38,77
2026/07/12 17:37:37.134,100,13583,15360,67.26,77
2026/07/12 17:37:37.380,100,13583,15360,67.98,77
2026/07/12 17:37:37.623,100,13583,15360,67.20,77
2026/07/12 17:37:37.864,100,13583,15360,68.18,77
2026/07/12 17:37:38.108,100,13583,15360,72.69,77
2026/07/12 17:37:38.349,100,13583,15360,67.49,77
2026/07/12 17:37:38.592,100,13583,15360,67.16,77
2026/07/12 17:37:38.833,100,13583,15360,67.10,77
2026/07/12 17:37:39.075,100,13583,15360,67.20,77
2026/07/12 17:37:39.319,100,13583,15360,67.35,77
