timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 18:20:17.933,100,12823,15360,63.99,77
2026/07/12 18:20:18.196,100,12823,15360,67.16,77
2026/07/12 18:20:18.465,100,12823,15360,61.49,78
2026/07/12 18:20:18.737,100,12823,15360,63.51,77
2026/07/12 18:20:19.006,100,12823,15360,63.22,77
2026/07/12 18:20:19.275,100,12823,15360,63.51,77
2026/07/12 18:20:19.541,100,12823,15360,76.37,77
2026/07/12 18:20:19.805,100,12823,15360,76.76,77
2026/07/12 18:20:20.077,100,12823,15360,62.77,77
2026/07/12 18:20:20.346,100,12823,15360,67.30,77
2026/07/12 18:20:20.615,100,12823,15360,71.81,77
2026/07/12 18:20:20.880,100,12823,15360,65.24,77
2026/07/12 18:20:21.146,100,12823,15360,68.57,77
2026/07/12 18:20:21.407,100,12823,15360,64.91,77
2026/07/12 18:20:21.673,100,12823,15360,66.47,77
2026/07/12 18:20:21.939,100,12823,15360,68.42,77
2026/07/12 18:20:22.203,100,12823,15360,64.65,77
2026/07/12 18:20:22.469,100,12823,15360,65.00,77
2026/07/12 18:20:22.728,100,12823,15360,65.87,77
2026/07/12 18:20:22.991,100,12823,15360,65.97,77
2026/07/12 18:20:23.255,100,12823,15360,66.65,77
2026/07/12 18:20:23.517,100,12823,15360,64.85,77
2026/07/12 18:20:23.781,100,12823,15360,66.56,78
2026/07/12 18:20:24.043,100,12823,15360,66.20,77
2026/07/12 18:20:24.305,100,12823,15360,66.65,77
2026/07/12 18:20:24.572,100,12823,15360,65.67,78
2026/07/12 18:20:24.823,100,12823,15360,66.30,77
2026/07/12 18:20:25.072,100,12823,15360,66.51,77
2026/07/12 18:20:25.329,100,12823,15360,66.75,78
2026/07/12 18:20:25.580,100,12823,15360,71.13,78
2026/07/12 18:20:25.834,98,12823,15360,70.54,78
2026/07/12 18:20:26.085,100,12823,15360,67.59,77
2026/07/12 18:20:26.339,100,12823,15360,61.85,77
2026/07/12 18:20:26.592,100,12823,15360,74.26,78
2026/07/12 18:20:26.838,100,12823,15360,63.81,77
2026/07/12 18:20:27.093,100,12823,15360,71.23,78
2026/07/12 18:20:27.340,100,12823,15360,63.46,77
2026/07/12 18:20:27.592,100,12823,15360,69.80,77
2026/07/12 18:20:27.846,100,12823,15360,63.26,77
2026/07/12 18:20:28.096,100,12823,15360,64.54,77
2026/07/12 18:20:28.349,100,12823,15360,65.28,77
2026/07/12 18:20:28.599,100,12823,15360,66.81,77
2026/07/12 18:20:28.846,100,12823,15360,67.10,77
2026/07/12 18:20:29.095,100,12823,15360,67.83,77
2026/07/12 18:20:29.342,100,12823,15360,66.46,77
2026/07/12 18:20:29.590,100,12823,15360,66.30,77
2026/07/12 18:20:29.844,100,12823,15360,65.63,77
2026/07/12 18:20:30.093,100,12823,15360,64.81,77
2026/07/12 18:20:30.338,100,12823,15360,65.93,77
2026/07/12 18:20:30.592,100,12823,15360,67.83,77
2026/07/12 18:20:30.841,100,12823,15360,66.12,78
2026/07/12 18:20:31.085,100,12823,15360,65.83,77
2026/07/12 18:20:31.337,100,12823,15360,65.73,77
2026/07/12 18:20:31.582,100,12823,15360,67.16,77
2026/07/12 18:20:31.827,100,12823,15360,65.63,77
2026/07/12 18:20:32.074,100,12823,15360,65.49,77
2026/07/12 18:20:32.322,100,12823,15360,67.00,77
2026/07/12 18:20:32.573,100,12823,15360,65.59,77
2026/07/12 18:20:32.819,100,12823,15360,66.47,77
