timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:32:57.781,100,13583,15360,67.30,77
2026/07/12 17:32:58.030,100,13583,15360,66.51,77
2026/07/12 17:32:58.279,100,13583,15360,67.63,77
2026/07/12 17:32:58.524,100,13583,15360,67.20,77
2026/07/12 17:32:58.770,100,13583,15360,66.91,77
2026/07/12 17:32:59.015,100,13583,15360,67.98,77
2026/07/12 17:32:59.260,100,13583,15360,66.71,77
2026/07/12 17:32:59.510,100,13583,15360,67.04,77
2026/07/12 17:32:59.756,100,13583,15360,67.00,77
2026/07/12 17:33:00.000,100,13583,15360,68.47,77
2026/07/12 17:33:00.244,100,13583,15360,67.69,77
2026/07/12 17:33:00.488,100,13583,15360,62.79,77
2026/07/12 17:33:00.744,100,13583,15360,66.56,77
2026/07/12 17:33:00.993,100,13583,15360,64.22,77
2026/07/12 17:33:01.242,100,13583,15360,66.02,77
2026/07/12 17:33:01.491,100,13583,15360,65.97,77
2026/07/12 17:33:01.744,100,13583,15360,67.30,77
2026/07/12 17:33:01.997,100,13583,15360,66.79,77
2026/07/12 17:33:02.248,100,13583,15360,66.36,77
2026/07/12 17:33:02.503,100,13583,15360,66.50,77
2026/07/12 17:33:02.754,100,13583,15360,68.22,77
2026/07/12 17:33:03.011,100,13583,15360,68.12,77
2026/07/12 17:33:03.261,100,13583,15360,67.93,77
2026/07/12 17:33:03.512,100,13583,15360,66.71,77
2026/07/12 17:33:03.762,100,13583,15360,68.03,77
2026/07/12 17:33:04.014,100,13583,15360,66.26,77
2026/07/12 17:33:04.263,100,13583,15360,67.45,77
2026/07/12 17:33:04.519,100,13583,15360,66.60,77
